condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t6__gpt_5_4_mini__m5v2ri,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,0,15,13,7,6,0,6,5,,11.00,8,6,,14.00,7,6,-1.00,0.00,7,8,1.00,0.00,11,1,391,0.972,0.0211,2,completed,56344,
s1__t6__gpt_5_4_mini__m5v2ri,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,1,15,11,7,4,0,5,4,,9.00,7,6,,13.00,7,6,-2.00,-1.00,7,8,0.00,-1.00,10,0,603,0.8783,0.0193,1,completed,56459,
s1__t6__gpt_5_4_mini__m5v2ri,feedback_only,Line,Visual tension — forces pulling against each other,gpt-5.4-mini,2,15,9,6,3,0,2,2,,4.00,6,5,,11.00,7,6,-5.00,-4.00,7,8,-1.00,-2.00,9,1,581,0.9453,0.0291,2,completed,62674,
s1__t7__gpt_5_4_mini__m5v2db,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,14,6,2,6,6,5,,11.00,7,6,,13.00,8,6,-2.00,0.00,8,8,-1.00,-1.00,5,1,162,1.7338,0.0639,2,completed,79075,
s1__t7__gpt_5_4_mini__m5v2db,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,20.2,9,5,6.2,6,4,,10.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,11,2,202,2.0614,0.1758,1,completed,70624,
s1__t7__gpt_5_4_mini__m5v2db,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,15.4,7,3,5.4,4,3,,7.00,7,6,,13.00,8,6,-4.00,-2.00,8,8,-1.00,-1.00,8,1,166,1.419,0.055,1,completed,69769,
s1__t7__gpt_5_4_mini__m5v2db,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,11,6,5,0,5,7,,12.00,8,7,,15.00,8,6,-3.00,-1.00,8,8,0.00,0.00,7,1,461,1.2468,0.0541,2,completed,55483,
s1__t7__gpt_5_4_mini__m5v2db,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,8,5,3,0,6,4,,10.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,9,3,887,2.0154,0.2186,1,completed,61714,
s1__t7__gpt_5_4_mini__m5v2db,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,15,7,6,2,6,5,,11.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,8,2,452,1.4049,0.0836,0,completed,52176,
s1__t7__gpt_5_4_mini__m5v2di,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,12,7,4,1,2,2,,4.00,6,5,,11.00,8,6,-6.00,-4.00,8,8,-2.00,-2.00,8,1,291,0.5128,0.0207,1,completed,71050,
s1__t7__gpt_5_4_mini__m5v2di,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,10,8,2,0,4,3,,7.00,7,6,,13.00,8,6,-4.00,-2.00,8,8,-1.00,-1.00,9,1,304,1.3893,0.0343,1,completed,68702,
s1__t7__gpt_5_4_mini__m5v2di,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,13.6,6,3,4.6,5,3,,8.00,7,5,,12.00,8,6,-3.00,-1.00,8,8,-1.00,-1.00,9,1,205,0.682,0.0419,4,completed,66848,
s1__t7__gpt_5_4_mini__m5v2di,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,15,7,4,4,6,3,,9.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,8,1,178,1.7566,0.0429,0,completed,58272,
s1__t7__gpt_5_4_mini__m5v2di,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,9,7,2,0,4,2,,6.00,9,6,,15.00,8,6,-4.00,-2.00,8,8,1.00,1.00,10,3,2034,0.4495,0.0716,3,completed,71223,
s1__t7__gpt_5_4_mini__m5v2di,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,10.6,6,3,1.5999999999999996,3,2,,5.00,7,6,,13.00,8,6,-5.00,-3.00,8,8,-1.00,-1.00,8,1,251,1.4022,0.0436,1,completed,55320,
s1__t7__gpt_5_4_mini__m5v2rb,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,22,8,5,9,6,4,,10.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,4,1,37,1.6024,0.0502,2,completed,63130,
s1__t7__gpt_5_4_mini__m5v2rb,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,18.8,8,6,4.8,7,6,,13.00,8,7,,15.00,8,6,-1.00,1.00,8,8,0.00,0.00,8,2,268,1.8639,0.1043,1,completed,69168,
s1__t7__gpt_5_4_mini__m5v2rb,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,20,8,6,6,4,3,,7.00,8,6,,14.00,8,6,-4.00,-2.00,8,8,0.00,0.00,10,1,138,1.5649,0.0499,2,completed,65990,
s1__t7__gpt_5_4_mini__m5v2rb,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,9,6,3,0,4,3,,7.00,7,6,,13.00,8,6,-4.00,-2.00,8,8,-1.00,-1.00,10,1,308,1.6406,0.0638,1,completed,53782,
s1__t7__gpt_5_4_mini__m5v2rb,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,11,7,4,0,3,2,,5.00,7,6,,13.00,8,6,-5.00,-3.00,8,8,-1.00,-1.00,9,1,414,1.1926,0.0329,2,completed,55235,
s1__t7__gpt_5_4_mini__m5v2rb,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,8,6,2,0,6,4,,10.00,7,6,,13.00,8,6,-2.00,0.00,8,8,-1.00,-1.00,12,3,403,0.9773,0.0482,1,completed,57707,
s1__t7__gpt_5_4_mini__m5v2ri,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,18,8,5,5,6,5,,11.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,9,1,169,1.3947,0.0495,2,completed,64780,
s1__t7__gpt_5_4_mini__m5v2ri,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,17.8,6,5,6.8,3,2,,5.00,8,6,,14.00,8,6,-5.00,-3.00,8,8,0.00,0.00,7,1,137,0.9557,0.0278,4,completed,65554,
s1__t7__gpt_5_4_mini__m5v2ri,evolution,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,17,8,1,8,6,4,,10.00,8,7,,15.00,8,6,-2.00,0.00,8,8,0.00,0.00,8,1,71,1.7856,0.0755,3,completed,60159,
s1__t7__gpt_5_4_mini__m5v2ri,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,0,15,14.8,7,6,1.8000000000000007,6,7,,13.00,8,6,,14.00,8,6,-2.00,0.00,8,8,0.00,0.00,6,2,274,1.6816,0.0945,1,completed,52047,
s1__t7__gpt_5_4_mini__m5v2ri,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,1,15,11,7,4,0,5,6,,11.00,7,6,,13.00,8,6,-3.00,-1.00,8,8,-1.00,-1.00,7,1,729,0.944,0.0219,1,completed,62908,
s1__t7__gpt_5_4_mini__m5v2ri,feedback_only,Line,Simple elements creating unexpected complexity,gpt-5.4-mini,2,15,13,6,7,0,7,5,,12.00,7,6,,13.00,8,6,-1.00,1.00,8,8,-1.00,-1.00,9,1,1462,1.6264,0.1332,1,completed,86923,
